FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6000,California,,2012,306593,5922,5895,5949,,68766,19,18,19,,68389,3.7,3.6,3.7,,66928,14,14,15,,24,,,,6491176,20,20,20,,,94,1062:1,2285084,52,52,53,,62.5,62,63,,2259948,18176237,12.4,,2012723,22,22,22,,16,,51,
6001,California,Alameda,2012,12212,5690,5557,5823,-0.7,2964,15,13,17,-0.41,2941,3.1,2.7,3.4,-0.92,2890,12,10,14,-0.56,20,18,22,-1.19,192959,15,14,15,-1.21,1869,127,787:1,77196,49,47,50,-0.22,62.5,61,65,0.37,85521,755529,11.3,-0.72,57722,17,15,19,-0.74,6,-0.26,10,-0.48
6003,California,Alpine,2012,,,,,,,,,,,,,,,,,,,,,25,19,33,,150,17,15,19,,,,,,,,,,,,,,69,440,15.7,,77,29,21,38,,0,,0,
6005,California,Amador,2012,494,6916,5973,7858,0.04,133,18,11,26,0,132,4.2,2.7,5.7,0.42,,,,,0,25,20,30,0.01,4739,16,14,18,-0.84,22,58,1726:1,5561,46,40,52,-0.44,70.8,62,78,-1.22,2336,17472,13.4,-0.17,1039,17,12,22,-0.77,3,-0.53,18,-0.22
6007,California,Butte,2012,2768,8637,8198,9075,1.08,734,14,11,18,-0.57,729,4.3,3.5,5.1,0.55,720,21,17,26,1.57,25,21,28,0.04,32858,18,16,19,-0.28,166,76,1322:1,29736,65,63,68,1.02,65.6,62,68,-0.23,14587,104580,13.9,-0.04,11339,25,20,30,0.39,7,-0.16,33,0.25
6009,California,Calaveras,2012,610,6267,5480,7053,-0.35,155,14,8,23,-0.57,155,4.1,2.3,5.9,0.3,,,,,0,26,21,32,0.39,5826,16,14,17,-0.9,20,43,2347:1,7364,48,43,54,-0.26,68.4,62,74,-0.75,3130,20087,15.6,0.41,1573,18,13,24,-0.58,1,-0.71,35,0.32
6011,California,Colusa,2012,185,6408,5269,7546,-0.27,,,,,0,55,3.8,2,5.5,-0.07,,,,,0,25,19,31,-0.04,4440,24,22,26,1.51,7,33,3022:1,2104,87,74,100,2.61,65.5,53,77,-0.21,2431,11928,20.4,1.67,1453,23,17,29,0.07,2,-0.62,1,-0.76
6013,California,Contra Costa,2012,8373,5365,5208,5521,-0.9,2342,15,13,17,-0.45,2330,3.4,2.9,3.8,-0.56,2285,13,11,15,-0.3,24,22,27,-0.07,121700,14,13,14,-1.52,1069,104,959:1,60067,51,49,52,-0.08,67.9,65,70,-0.66,58685,522374,11.2,-0.75,32851,13,11,15,-1.38,6,-0.26,14,-0.35
6015,California,Del Norte,2012,409,10312,8982,11642,2.09,,,,,0,94,6.6,3,10.2,3.36,,,,,0,27,21,34,0.75,5741,23,21,26,1.25,22,76,1312:1,3287,50,42,58,-0.1,66.7,56,76,-0.43,1559,11695,13.3,-0.2,1830,31,22,39,1.18,5,-0.35,0,-0.79
6017,California,El Dorado,2012,1625,5409,5035,5783,-0.87,576,10,7,14,-1.29,576,2.6,1.9,3.2,-1.54,560,14,10,18,-0.11,21,18,25,-1,19807,13,12,14,-1.72,142,80,1247:1,16716,40,37,43,-0.85,71.9,67,76,-1.42,11459,90822,12.6,-0.38,4717,12,9,15,-1.54,4,-0.44,61,1.14
6019,California,Fresno,2012,8384,7380,7189,7570,0.32,1801,20,18,23,0.51,1790,4,3.5,4.5,0.18,1746,14,12,17,-0.01,29,27,32,1.3,175794,22,21,23,0.8,728,81,1241:1,56772,58,56,60,0.49,64.3,62,66,0.03,73601,438606,16.8,0.73,104798,38,35,41,2.26,38,2.64,74,1.55
6021,California,Glenn,2012,300,7932,6775,9089,0.65,,,,,0,99,3.6,1.1,6.2,-0.31,97,14,7,26,-0.08,27,21,34,0.67,5856,24,22,26,1.51,3,11,9376:1,3683,62,54,70,0.78,64.7,55,74,-0.06,2069,12727,16.3,0.59,1992,26,19,33,0.46,4,-0.44,0,-0.79
6023,California,Humboldt,2012,1801,9350,8767,9934,1.51,535,14,10,19,-0.6,534,4.4,3.6,5.3,0.67,527,21,16,26,1.52,26,23,30,0.42,22409,20,18,22,0.38,110,85,1171:1,15786,43,40,47,-0.61,71,66,75,-1.26,6972,60854,11.5,-0.67,5820,22,16,28,-0.05,4,-0.44,0,-0.79
6025,California,Imperial,2012,1365,6568,6149,6987,-0.17,364,31,25,37,2.32,360,4.8,3.7,5.9,1.16,356,11,8,16,-0.72,25,20,30,-0.02,35351,24,22,26,1.54,55,34,2965:1,16318,57,53,61,0.4,54.5,50,58,1.91,22860,77099,29.7,4.12,16157,32,26,38,1.35,5,-0.35,33,0.25
6027,California,Inyo,2012,247,8263,6710,9816,0.85,,,,,0,104,2.9,1.4,4.5,-1.17,,,,,0,23,18,29,-0.34,2798,20,18,21,0.18,27,157,638:1,3180,34,27,40,-1.35,67.5,57,77,-0.58,954,9558,10,-1.06,793,21,15,26,-0.27,1,-0.71,9,-0.51
6029,California,Kern,2012,8405,8414,8200,8629,0.94,1703,24,22,27,1.2,1688,4.4,4,4.9,0.67,1650,17,15,20,0.74,29,26,32,1.13,156590,22,21,23,0.86,511,64,1560:1,40661,75,72,77,1.71,57.9,55,60,1.26,58554,368546,15.9,0.49,76107,30,28,33,1.13,41,2.91,110,2.69
6031,California,Kings,2012,1314,7636,7163,8109,0.47,262,23,18,29,0.89,259,4.4,3.2,5.6,0.67,254,13,9,19,-0.3,28,23,33,0.8,31296,24,21,26,1.31,66,44,2254:1,8892,68,62,74,1.22,55.9,50,61,1.63,10126,61350,16.5,0.65,12484,30,25,34,1.05,18,0.83,46,0.66
6033,California,Lake,2012,1161,9583,8789,10377,1.65,220,22,15,31,0.75,220,4.4,3.2,5.6,0.67,216,20,14,28,1.29,27,22,32,0.58,10591,20,18,22,0.29,40,61,1627:1,9088,58,53,64,0.5,62.6,57,68,0.35,4585,25303,18.1,1.07,3969,30,23,37,1.06,4,-0.44,0,-0.79
6035,California,Lassen,2012,350,7322,6246,8399,0.28,126,16,10,23,-0.29,126,3.8,2.6,5,-0.07,,,,,0,27,21,33,0.53,5774,19,17,21,0.03,18,52,1919:1,2976,72,62,82,1.53,57.8,48,67,1.28,1953,13755,14.2,0.04,1144,19,13,24,-0.53,0,-0.8,0,-0.79
6037,California,Los Angeles,2012,78540,5776,5725,5827,-0.65,9758,22,21,24,0.85,9695,3.8,3.6,4,-0.07,9465,14,13,15,-0.06,22,20,23,-0.86,2150986,25,24,25,1.68,9131,93,1071:1,535136,62,61,63,0.76,56.1,55,57,1.6,617215,4879481,12.6,-0.38,578160,25,24,25,0.3,22,1.19,79,1.71
6039,California,Madera,2012,1414,7313,6840,7786,0.28,329,31,24,40,2.39,325,5.7,3.9,7.4,2.26,318,13,9,19,-0.32,30,25,36,1.51,31570,24,22,26,1.54,78,53,1892:1,10129,58,53,62,0.43,64.5,58,70,-0.02,10420,66960,15.6,0.41,13394,32,25,38,1.33,1,-0.71,15,-0.32
6041,California,Marin,2012,1790,3846,3564,4128,-1.82,737,8,6,11,-1.62,735,3.4,2.6,4.1,-0.56,725,9,6,12,-1.29,15,13,18,-2.56,24435,12,11,13,-2.01,416,168,597:1,24368,32,30,34,-1.46,71.4,67,75,-1.34,10844,131410,8.3,-1.51,5609,11,8,13,-1.64,6,-0.26,0,-0.79
