FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6000,California,,2015,306204,5295,5270,5321,,85369,18,18,19,,84923,3.7,3.6,3.7,,83519,13,13,13,,23,,,,6580078,20,20,20,,29387,77,1294:1,,2483565,45,45,46,,59.3,59,59.6,,1663498,18596822,8.9,,2119056,24,23,24,,124665,24516,5.1,,9.3,,1008708,3,,3544025,29,28,29,
6001,California,Alameda,2015,11903,4887,4766,5007,-0.87,3671,15,13,16,-0.71,3643,3,2.8,3.3,-1.25,3596,11,9,12,-0.97,21,19,22,-0.99,199060,15,14,15,-1.27,1586,102,980:1,-1.1,86546,42,41,43,-0.23,60.1,58.1,62,0.11,58050,783065,7.4,-0.86,52179,15,14,17,-1.08,146517,27248,5.4,1.21,8.5,-0.29,0,0,-0.63,136500,25,25,26,0.19
6003,California,Alpine,2015,,,,,,,,,,,,,,,,,,,,,24,18,30,,174,19,16,21,,0,0,1129:0,,1045,23,13,33,,69.4,51.7,87.1,,49,428,11.4,,76,32,23,40,,118050,21105,5.6,,10.3,,1325,46,,75,21,12,30,
6005,California,Amador,2015,529,6602,5629,7575,0.15,164,18,12,25,-0.13,163,4,2.6,5.3,0.12,161,21,14,31,1.38,25,20,31,0.26,3804,15,14,17,-1.12,25,68,1481:1,0.07,6463,42,37,47,-0.25,69.9,62.4,77.3,-1.49,1582,16036,9.9,-0.13,1235,22,17,27,-0.18,101576,23139,4.4,-0.65,9.4,0.57,6796,19,1.14,2825,20,17,23,-1.42
6007,California,Butte,2015,2782,7650,7229,8071,0.78,931,17,14,21,-0.17,924,4.5,3.7,5.3,0.81,917,19,16,23,0.94,24,21,28,0.14,35365,19,18,21,0.15,148,67,1497:1,0.1,33370,59,57,62,1.24,62.4,59.4,65.4,-0.28,10409,103719,10,-0.08,11074,25,20,30,0.21,88479,18420,4.8,0.13,8.9,0.14,787,0,-0.59,19790,23,22,25,-0.44
6009,California,Calaveras,2015,626,7101,6077,8125,0.45,195,21,13,33,0.62,195,4.3,2.5,6,0.53,191,19,12,28,0.92,24,20,30,0.11,5601,16,15,18,-0.74,20,45,2237:1,0.85,7192,51,46,57,0.57,66.1,59.7,72.5,-0.87,2009,19264,10.4,0.03,1689,22,16,27,-0.22,104832,23636,4.4,-0.57,9.5,0.7,1796,3,-0.31,3670,19,17,22,-1.51
6011,California,Colusa,2015,195,5943,4800,7086,-0.24,,,,,0,70,2.9,1.4,4.5,-1.38,,,,,0,22,16,29,-0.47,4252,23,21,25,1.23,7,33,3059:1,1.26,2232,65,54,76,1.75,58.7,47.4,69.9,0.34,2130,11553,18.4,2.4,1190,20,15,25,-0.46,92761,24835,3.7,-1.89,7.6,-1.12,250,2,-0.48,1515,22,18,25,-0.88
6013,California,Contra Costa,2015,8548,5040,4886,5194,-0.78,2871,14,12,16,-0.84,2854,3.3,2.9,3.7,-0.84,2814,12,10,14,-0.75,22,20,25,-0.44,127668,14,13,15,-1.57,1026,95,1052:1,-0.87,68381,44,42,46,-0.07,64.1,61.9,66.4,-0.56,39825,538888,7.4,-0.87,34435,13,11,15,-1.35,156066,32397,4.8,0.16,8.3,-0.45,13,0,-0.62,88210,24,23,24,-0.28
6015,California,Del Norte,2015,426,9082,7833,10332,1.64,118,16,10,24,-0.44,119,6.3,4.3,8.4,3.27,118,20,12,33,1.18,26,20,32,0.47,3755,18,16,20,-0.28,22,78,1286:1,-0.28,3543,56,48,64,0.95,51.5,43.4,59.6,1.5,1284,11103,11.6,0.37,1880,33,24,41,1.24,84225,14534,5.8,2,8,-0.75,0,0,-0.63,2375,24,20,28,-0.17
6017,California,El Dorado,2015,1754,5096,4710,5482,-0.75,738,10,7,13,-1.63,738,2.7,2.2,3.3,-1.66,723,14,11,19,-0.15,21,18,25,-0.85,20060,13,12,15,-1.68,125,69,1444:1,0.01,18982,37,34,40,-0.66,66.8,62.7,71,-0.99,7606,89348,8.5,-0.53,5285,14,11,17,-1.3,134373,30022,4.5,-0.49,9.5,0.66,160,0,-0.62,14595,21,20,23,-1.01
