FIPS,State,County,Year,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6000,California,,2011,15,14,15,,16,,51,
6001,California,Alameda,2011,13,11,15,-0.48,6,-0.26,10,-0.48
6003,California,Alpine,2011,,,,,0,,0,
6005,California,Amador,2011,,,,0,3,-0.53,18,-0.22
6007,California,Butte,2011,19,15,23,0.88,7,-0.16,33,0.25
6009,California,Calaveras,2011,,,,0,1,-0.71,35,0.32
6011,California,Colusa,2011,,,,0,2,-0.62,1,-0.76
6013,California,Contra Costa,2011,13,11,15,-0.48,6,-0.26,14,-0.35
6015,California,Del Norte,2011,,,,0,5,-0.35,0,-0.79
6017,California,El Dorado,2011,15,11,19,-0.05,4,-0.44,61,1.14
6019,California,Fresno,2011,14,12,17,-0.19,38,2.64,74,1.55
6021,California,Glenn,2011,14,7,27,-0.12,4,-0.44,0,-0.79
6023,California,Humboldt,2011,19,14,25,0.98,4,-0.44,0,-0.79
6025,California,Imperial,2011,12,8,18,-0.59,5,-0.35,33,0.25
6027,California,Inyo,2011,,,,0,1,-0.71,9,-0.51
6029,California,Kern,2011,20,17,23,1.12,41,2.91,110,2.69
6031,California,Kings,2011,11,7,17,-0.8,18,0.83,46,0.66
6033,California,Lake,2011,23,16,33,1.96,4,-0.44,0,-0.79
6035,California,Lassen,2011,,,,0,0,-0.8,0,-0.79
6037,California,Los Angeles,2011,15,14,16,-0.05,22,1.19,79,1.71
6039,California,Madera,2011,12,8,18,-0.66,1,-0.71,15,-0.32
6041,California,Marin,2011,12,9,17,-0.59,6,-0.26,0,-0.79
6043,California,Mariposa,2011,,,,0,0,-0.8,38,0.41
6045,California,Mendocino,2011,19,11,31,0.96,3,-0.53,0,-0.79
6047,California,Merced,2011,14,10,19,-0.22,29,1.82,30,0.16
6049,California,Modoc,2011,,,,0,0,-0.8,0,-0.79
6051,California,Mono,2011,8,3,22,-1.58,0,-0.8,0,-0.79
6053,California,Monterey,2011,15,11,19,-0.03,0,-0.8,1,-0.76
6055,California,Napa,2011,8,5,12,-1.65,10,0.11,0,-0.79
6057,California,Nevada,2011,13,9,19,-0.45,1,-0.71,63,1.2
6059,California,Orange,2011,13,12,15,-0.34,8,-0.07,14,-0.35
6061,California,Placer,2011,11,8,15,-0.92,11,0.2,62,1.17
6063,California,Plumas,2011,,,,0,2,-0.62,0,-0.79
6065,California,Riverside,2011,15,14,17,0.13,36,2.46,107,2.6
6067,California,Sacramento,2011,16,14,18,0.25,22,1.19,46,0.66
6069,California,San Benito,2011,5,2,16,-2.21,0,-0.8,6,-0.6
6071,California,San Bernardino,2011,17,15,19,0.53,26,1.55,116,2.88
6073,California,San Diego,2011,14,13,15,-0.22,3,-0.53,38,0.41
6075,California,San Francisco,2011,13,11,16,-0.36,4,-0.44,0,-0.79
6077,California,San Joaquin,2011,17,14,21,0.58,28,1.73,23,-0.06
6079,California,San Luis Obispo,2011,12,9,16,-0.66,0,-0.8,35,0.32
6081,California,San Mateo,2011,15,11,19,-0.08,4,-0.44,0,-0.79
6083,California,Santa Barbara,2011,11,8,15,-0.9,0,-0.8,5,-0.63
6085,California,Santa Clara,2011,10,9,12,-1.11,7,-0.16,12,-0.41
6087,California,Santa Cruz,2011,11,7,15,-0.99,0,-0.8,0,-0.79
6089,California,Shasta,2011,23,18,29,1.99,3,-0.53,10,-0.48
6091,California,Sierra,2011,,,,,0,,0,
6093,California,Siskiyou,2011,19,12,29,0.98,1,-0.71,0,-0.79
6095,California,Solano,2011,16,12,20,0.18,24,1.37,9,-0.51
6097,California,Sonoma,2011,15,12,18,-0.01,4,-0.44,0,-0.79
6099,California,Stanislaus,2011,18,15,21,0.65,33,2.19,25,0
6101,California,Sutter,2011,,,,0,6,-0.26,25,0
6103,California,Tehama,2011,23,15,34,1.92,4,-0.44,34,0.28
6105,California,Trinity,2011,,,,0,19,0.92,0,-0.79
6107,California,Tulare,2011,20,15,25,1.12,12,0.29,104,2.5
6109,California,Tuolumne,2011,24,16,34,2.15,0,-0.8,6,-0.6
6111,California,Ventura,2011,15,13,18,0.09,0,-0.8,39,0.44
6113,California,Yolo,2011,8,5,12,-1.6,11,0.2,15,-0.32
6115,California,Yuba,2011,19,11,29,0.88,5,-0.35,1,-0.76
