FIPS,State,County,Year,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6000,California,,2012,66928,14,14,15,,16,,51,
6001,California,Alameda,2012,2890,12,10,14,-0.56,6,-0.26,10,-0.48
6003,California,Alpine,2012,,,,,,0,,0,
6005,California,Amador,2012,,,,,0,3,-0.53,18,-0.22
6007,California,Butte,2012,720,21,17,26,1.57,7,-0.16,33,0.25
6009,California,Calaveras,2012,,,,,0,1,-0.71,35,0.32
6011,California,Colusa,2012,,,,,0,2,-0.62,1,-0.76
6013,California,Contra Costa,2012,2285,13,11,15,-0.3,6,-0.26,14,-0.35
6015,California,Del Norte,2012,,,,,0,5,-0.35,0,-0.79
6017,California,El Dorado,2012,560,14,10,18,-0.11,4,-0.44,61,1.14
6019,California,Fresno,2012,1746,14,12,17,-0.01,38,2.64,74,1.55
6021,California,Glenn,2012,97,14,7,26,-0.08,4,-0.44,0,-0.79
6023,California,Humboldt,2012,527,21,16,26,1.52,4,-0.44,0,-0.79
6025,California,Imperial,2012,356,11,8,16,-0.72,5,-0.35,33,0.25
6027,California,Inyo,2012,,,,,0,1,-0.71,9,-0.51
6029,California,Kern,2012,1650,17,15,20,0.74,41,2.91,110,2.69
6031,California,Kings,2012,254,13,9,19,-0.3,18,0.83,46,0.66
6033,California,Lake,2012,216,20,14,28,1.29,4,-0.44,0,-0.79
6035,California,Lassen,2012,,,,,0,0,-0.8,0,-0.79
6037,California,Los Angeles,2012,9465,14,13,15,-0.06,22,1.19,79,1.71
6039,California,Madera,2012,318,13,9,19,-0.32,1,-0.71,15,-0.32
6041,California,Marin,2012,725,9,6,12,-1.29,6,-0.26,0,-0.79
6043,California,Mariposa,2012,,,,,0,0,-0.8,38,0.41
6045,California,Mendocino,2012,329,20,13,31,1.43,3,-0.53,0,-0.79
6047,California,Merced,2012,439,15,11,20,0.06,29,1.82,30,0.16
6049,California,Modoc,2012,,,,,0,0,-0.8,0,-0.79
6051,California,Mono,2012,65,8,3,21,-1.55,0,-0.8,0,-0.79
6053,California,Monterey,2012,847,13,10,16,-0.39,0,-0.8,1,-0.76
6055,California,Napa,2012,367,8,5,12,-1.53,10,0.11,0,-0.79
6057,California,Nevada,2012,384,15,10,20,0.08,1,-0.71,63,1.2
6059,California,Orange,2012,5616,12,11,13,-0.56,8,-0.07,14,-0.35
6061,California,Placer,2012,916,11,8,14,-0.84,11,0.2,62,1.17
6063,California,Plumas,2012,,,,,0,2,-0.62,0,-0.79
6065,California,Riverside,2012,3943,15,13,17,0.11,36,2.46,107,2.6
6067,California,Sacramento,2012,2981,15,13,17,0.15,22,1.19,46,0.66
6069,California,San Benito,2012,107,5,2,12,-2.21,0,-0.8,6,-0.6
6071,California,San Bernardino,2012,3750,17,15,18,0.55,26,1.55,116,2.88
6073,California,San Diego,2012,6340,13,12,15,-0.2,3,-0.53,38,0.41
6075,California,San Francisco,2012,1590,13,10,15,-0.39,4,-0.44,0,-0.79
6077,California,San Joaquin,2012,1279,18,15,21,0.84,28,1.73,23,-0.06
6079,California,San Luis Obispo,2012,806,12,9,16,-0.56,0,-0.8,35,0.32
6081,California,San Mateo,2012,1394,14,10,17,-0.18,4,-0.44,0,-0.79
6083,California,Santa Barbara,2012,952,11,8,14,-0.79,0,-0.8,5,-0.63
6085,California,Santa Clara,2012,3307,10,8,11,-1.08,7,-0.16,12,-0.41
6087,California,Santa Cruz,2012,664,10,7,13,-1.12,0,-0.8,0,-0.79
6089,California,Shasta,2012,629,24,20,30,2.4,3,-0.53,10,-0.48
6091,California,Sierra,2012,,,,,,0,,0,
6093,California,Siskiyou,2012,206,21,14,31,1.55,1,-0.71,0,-0.79
6095,California,Solano,2012,717,14,11,18,-0.06,24,1.37,9,-0.51
6097,California,Sonoma,2012,1420,15,13,19,0.27,4,-0.44,0,-0.79
6099,California,Stanislaus,2012,1171,17,14,20,0.55,33,2.19,25,0
6101,California,Sutter,2012,,,,,0,6,-0.26,25,0
6103,California,Tehama,2012,222,19,13,28,1.17,4,-0.44,34,0.28
6105,California,Trinity,2012,,,,,0,19,0.92,0,-0.79
6107,California,Tulare,2012,918,19,15,24,1.1,12,0.29,104,2.5
6109,California,Tuolumne,2012,237,22,15,30,1.71,0,-0.8,6,-0.6
6111,California,Ventura,2012,1681,14,12,16,-0.11,0,-0.8,39,0.44
6113,California,Yolo,2012,480,7,5,11,-1.62,11,0.2,15,-0.32
6115,California,Yuba,2012,203,14,9,20,-0.16,5,-0.35,1,-0.76
