FIPS,State,County,Year,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score
6000,California,ALL,2015,83519,13,13,13,,124665,24516,5.1,,9.3,,1008708,3,
6001,California,Alameda,2015,3596,11,9,12,-0.97,146517,27248,5.4,1.21,8.5,-0.29,0,0,-0.63
6003,California,Alpine,2015,,,,,,118050,21105,5.6,,10.3,,1325,46,
6005,California,Amador,2015,161,21,14,31,1.38,101576,23139,4.4,-0.65,9.4,0.57,6796,19,1.14
6007,California,Butte,2015,917,19,16,23,0.94,88479,18420,4.8,0.13,8.9,0.14,787,0,-0.59
6009,California,Calaveras,2015,191,19,12,28,0.92,104832,23636,4.4,-0.57,9.5,0.7,1796,3,-0.31
6011,California,Colusa,2015,,,,,0,92761,24835,3.7,-1.89,7.6,-1.12,250,2,-0.48
6013,California,Contra Costa,2015,2814,12,10,14,-0.75,156066,32397,4.8,0.16,8.3,-0.45,13,0,-0.62
6015,California,Del Norte,2015,118,20,12,33,1.18,84225,14534,5.8,2,8,-0.75,0,0,-0.63
6017,California,El Dorado,2015,723,14,11,19,-0.15,134373,30022,4.5,-0.49,9.5,0.66,160,0,-0.62
6019,California,Fresno,2015,2107,14,12,16,-0.24,94241,18745,5,0.55,9.6,0.74,29560,3,-0.31
6021,California,Glenn,2015,129,15,9,25,0.01,92706,17720,5.2,0.94,8,-0.73,350,2,-0.45
6023,California,Humboldt,2015,661,19,15,23,0.81,82508,17472,4.7,-0.02,8.2,-0.54,240,0,-0.61
6025,California,Imperial,2015,423,12,9,17,-0.57,89718,15953,5.6,1.68,9.4,0.6,15737,9,0.22
6027,California,Inyo,2015,,,,,0,93676,19833,4.7,-0.02,11.3,2.3,423,3,-0.38
6029,California,Kern,2015,1968,16,14,19,0.23,98321,19769,5,0.45,9.2,0.4,109850,13,0.59
6031,California,Kings,2015,299,13,9,18,-0.55,92869,21028,4.4,-0.6,8.9,0.07,66076,46,3.66
6033,California,Lake,2015,294,25,18,32,2.12,77613,15696,4.9,0.4,7.2,-1.43,833,1,-0.5
6035,California,Lassen,2015,177,18,11,29,0.7,93302,21833,4.3,-0.87,11.1,2.14,200,1,-0.56
6037,California,Los Angeles,2015,13100,12,11,13,-0.59,116591,22029,5.3,1.05,8.1,-0.62,94653,1,-0.54
6039,California,Madera,2015,402,14,10,19,-0.26,89502,20768,4.3,-0.8,9.9,1.03,8721,7,0.06
6041,California,Marin,2015,922,10,7,13,-1.17,192363,34735,5.5,1.52,7.5,-1.17,1315,1,-0.58
6043,California,Mariposa,2015,113,20,12,34,1.21,100017,20082,5,0.46,10.1,1.17,1417,24,1.61
6045,California,Mendocino,2015,416,18,12,27,0.72,85430,17357,4.9,0.35,7.3,-1.38,4031,7,-0.02
6047,California,Merced,2015,555,12,9,16,-0.73,86390,18914,4.6,-0.32,9.1,0.25,20204,10,0.26
6049,California,Modoc,2015,,,,,0,78231,16446,4.8,0.04,10,1.1,0,0,-0.63
6051,California,Mono,2015,,,,,0,98397,30125,3.3,-2.78,11,2.05,850,7,0.05
6053,California,Monterey,2015,1029,13,10,16,-0.55,115310,25821,4.5,-0.51,7.2,-1.42,2652,1,-0.56
6055,California,Napa,2015,453,9,6,13,-1.44,134976,31320,4.3,-0.8,7.6,-1.12,55836,40,3.11
6057,California,Nevada,2015,506,14,10,20,-0.19,110918,24771,4.5,-0.49,9.6,0.73,100,0,-0.61
6059,California,Orange,2015,6713,11,10,12,-0.9,146026,31512,4.6,-0.19,7.6,-1.05,0,0,-0.63
6061,California,Placer,2015,1167,8,6,11,-1.53,135278,31095,4.4,-0.73,9.3,0.48,2570,1,-0.55
6063,California,Plumas,2015,133,14,8,25,-0.13,89742,18264,4.9,0.34,10.4,1.46,7027,37,2.83
6065,California,Riverside,2015,4874,15,13,16,-0.08,109775,24130,4.5,-0.35,9.4,0.57,32475,2,-0.49
6067,California,Sacramento,2015,3696,15,13,16,-0.08,107650,23197,4.6,-0.18,8.7,-0.09,360,0,-0.62
6069,California,San Benito,2015,,,,,0,120263,28724,4.2,-1.04,7.9,-0.77,880,2,-0.46
6071,California,San Bernardino,2015,4452,16,15,18,0.27,104581,22625,4.6,-0.21,10.4,1.5,26487,1,-0.51
6073,California,San Diego,2015,7777,12,11,13,-0.64,125191,26121,4.8,0.11,7.9,-0.83,14405,0,-0.58
6075,California,San Francisco,2015,1914,10,8,12,-1.22,163423,23910,6.8,3.97,8,-0.73,0,0,-0.63
6077,California,San Joaquin,2015,1563,16,14,19,0.32,106307,22543,4.7,-0.04,8.9,0.1,160020,25,1.64
6079,California,San Luis Obispo,2015,1020,9,7,12,-1.3,114831,24629,4.7,-0.14,7.5,-1.2,16005,6,-0.03
6081,California,San Mateo,2015,1722,11,8,13,-0.99,177984,39041,4.6,-0.33,8,-0.7,78671,11,0.37
6083,California,Santa Barbara,2015,1220,11,8,13,-0.99,127219,25815,4.9,0.37,7.2,-1.41,17413,4,-0.26
6085,California,Santa Clara,2015,4011,10,9,12,-1.04,178235,36273,4.9,0.34,8.3,-0.46,40118,2,-0.43
6087,California,Santa Cruz,2015,838,10,8,14,-1.08,133236,25635,5.2,0.87,7.7,-1,5768,2,-0.41
6089,California,Shasta,2015,777,25,21,30,2.25,87732,19199,4.6,-0.31,9.6,0.74,268,0,-0.61
6091,California,Sierra,2015,,,,,0,84179,15475,5.4,1.33,10.2,1.32,193,7,0.02
