FIPS,State,County,Year,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - Presence of violation,Drinking water safety - Z-Score
6000,California,ALL,2016,13,12,14,,126489,24495,5.2,,9.3,,,
6001,California,Alameda,2016,11,10,11,-1.52,150027,27647,5.4,1.13,8.5,-0.29,No,-2.03
6003,California,Alpine,2016,16,15,16,,117650,22733,5.2,,10.3,,No,
6005,California,Amador,2016,13,12,13,-0.4,102310,22476,4.6,-0.42,9.4,0.57,Yes,0.48
6007,California,Butte,2016,15,14,16,0.96,90586,17709,5.1,0.58,8.9,0.14,Yes,0.48
6009,California,Calaveras,2016,12,11,12,-0.96,106834,22824,4.7,-0.19,9.5,0.7,Yes,0.48
6011,California,Colusa,2016,14,14,15,0.56,93880,24839,3.8,-1.79,7.6,-1.12,No,-2.03
6013,California,Contra Costa,2016,11,11,11,-1.3,158070,33012,4.8,0,8.3,-0.45,No,-2.03
6015,California,Del Norte,2016,16,16,17,1.58,82690,14186,5.8,1.84,8,-0.75,No,-2.03
6017,California,El Dorado,2016,12,11,12,-0.96,137016,28644,4.8,-0.01,9.5,0.66,No,-2.03
6019,California,Fresno,2016,13,13,14,0.06,94471,18466,5.1,0.58,9.6,0.74,Yes,0.48
6021,California,Glenn,2016,15,14,15,0.79,90056,16756,5.4,1.03,8,-0.73,Yes,0.48
6023,California,Humboldt,2016,15,15,16,1.07,83287,17441,4.8,-0.03,8.2,-0.54,Yes,0.48
6025,California,Imperial,2016,14,14,15,0.62,89794,16169,5.6,1.35,9.4,0.6,Yes,0.48
6027,California,Inyo,2016,13,13,14,-0.17,93823,19315,4.9,0.12,11.3,2.3,Yes,0.48
6029,California,Kern,2016,17,16,17,1.92,99161,20083,4.9,0.26,9.2,0.4,Yes,0.48
6031,California,Kings,2016,16,15,16,1.24,93691,20726,4.5,-0.48,8.9,0.07,Yes,0.48
6033,California,Lake,2016,15,15,16,1.13,77506,15556,5,0.34,7.2,-1.43,Yes,0.48
6035,California,Lassen,2016,15,14,15,0.85,96338,21727,4.4,-0.63,11.1,2.14,Yes,0.48
6037,California,Los Angeles,2016,12,12,13,-0.51,117883,21918,5.4,1.04,8.1,-0.62,Yes,0.48
6039,California,Madera,2016,16,15,16,1.36,90589,20452,4.4,-0.64,9.9,1.03,Yes,0.48
6041,California,Marin,2016,11,10,11,-1.58,197952,35112,5.6,1.5,7.5,-1.17,Yes,0.48
6043,California,Mariposa,2016,13,12,13,-0.34,101953,19884,5.1,0.6,10.1,1.17,Yes,0.48
6045,California,Mendocino,2016,15,15,16,0.96,85236,17390,4.9,0.2,7.3,-1.38,Yes,0.48
6047,California,Merced,2016,16,15,16,1.3,87230,19029,4.6,-0.36,9.1,0.25,Yes,0.48
6049,California,Modoc,2016,14,14,15,0.62,79274,18297,4.3,-0.81,10,1.1,No,-2.03
6051,California,Mono,2016,14,13,14,0.17,100187,32990,3,-3,11,2.05,Yes,0.48
6053,California,Monterey,2016,14,13,14,0.17,114702,26298,4.4,-0.76,7.2,-1.42,Yes,0.48
6055,California,Napa,2016,11,11,12,-1.19,135622,30476,4.5,-0.6,7.6,-1.12,Yes,0.48
6057,California,Nevada,2016,12,11,12,-0.9,110651,25388,4.4,-0.76,9.6,0.73,No,-2.03
6059,California,Orange,2016,11,11,11,-1.24,148925,31454,4.7,-0.1,7.6,-1.05,No,-2.03
6061,California,Placer,2016,11,11,12,-1.07,137055,30946,4.4,-0.64,9.3,0.48,Yes,0.48
6063,California,Plumas,2016,13,13,14,0,89964,18317,4.9,0.22,10.4,1.46,Yes,0.48
6065,California,Riverside,2016,14,14,14,0.45,110055,23943,4.6,-0.34,9.4,0.57,Yes,0.48
6067,California,Sacramento,2016,15,15,15,0.96,109436,22886,4.8,-0.01,8.7,-0.09,Yes,0.48
6069,California,San Benito,2016,12,12,13,-0.51,123469,30537,4,-1.32,7.9,-0.77,Yes,0.48
6071,California,San Bernardino,2016,14,14,15,0.45,104792,22431,4.7,-0.21,10.4,1.5,Yes,0.48
6073,California,San Diego,2016,12,12,12,-0.85,127710,26233,4.9,0.14,7.9,-0.83,Yes,0.48
6075,California,San Francisco,2016,12,11,12,-1.02,168480,24408,6.9,3.74,8,-0.73,No,-2.03
6077,California,San Joaquin,2016,14,14,14,0.34,106884,22172,4.8,0.05,8.9,0.1,Yes,0.48
6079,California,San Luis Obispo,2016,12,12,13,-0.51,114652,24743,4.6,-0.28,7.5,-1.2,Yes,0.48
6081,California,San Mateo,2016,9,9,10,-2.26,184424,39564,4.7,-0.23,8,-0.7,Yes,0.48
6083,California,Santa Barbara,2016,12,12,13,-0.51,128161,25912,4.9,0.28,7.2,-1.41,Yes,0.48
6085,California,Santa Clara,2016,9,9,9,-2.43,184353,36841,5,0.38,8.3,-0.46,Yes,0.48
6087,California,Santa Cruz,2016,13,13,14,-0.11,137063,26048,5.3,0.83,7.7,-1,Yes,0.48
6089,California,Shasta,2016,14,14,15,0.45,88312,19111,4.6,-0.3,9.6,0.74,Yes,0.48
6091,California,Sierra,2016,13,12,13,-0.45,97000,17136,5.7,1.54,10.2,1.32,Yes,0.48
6093,California,Siskiyou,2016,15,15,16,1.07,75009,16059,4.7,-0.21,8.7,-0.05,Yes,0.48
6095,California,Solano,2016,12,12,13,-0.51,124654,29031,4.3,-0.88,8.1,-0.62,No,-2.03
6097,California,Sonoma,2016,12,11,12,-0.96,123818,27544,4.5,-0.52,7.2,-1.46,Yes,0.48
6099,California,Stanislaus,2016,15,14,15,0.68,97908,20542,4.8,-0.04,9.2,0.34,Yes,0.48
6101,California,Sutter,2016,13,13,14,0.06,102765,21647,4.7,-0.08,8.1,-0.63,Yes,0.48
6103,California,Tehama,2016,15,15,16,1.07,83033,19590,4.2,-0.98,8.9,0.15,Yes,0.48
6105,California,Trinity,2016,15,14,16,0.9,81576,17136,4.8,-0.05,8.7,-0.06,Yes,0.48
6107,California,Tulare,2016,15,15,16,1.19,87353,18414,4.7,-0.08,10.3,1.4,Yes,0.48
6109,California,Tuolumne,2016,13,13,14,0,90622,20933,4.3,-0.81,10.1,1.23,Yes,0.48
6111,California,Ventura,2016,11,11,12,-1.19,145709,32915,4.4,-0.64,7.7,-1.01,Yes,0.48
6113,California,Yolo,2016,12,12,13,-0.51,119544,20663,5.8,1.76,7.9,-0.77,Yes,0.48
6115,California,Yuba,2016,15,15,16,0.96,83471,20290,4.1,-1.2,8.7,-0.07,No,-2.03
