"County Name","County FIPS","Estimated Percent","Lower Confidence Interval","Upper Confidence Interval"
"Alameda County, CA","6001","11.88","9.15","14.61"
"Alpine County, CA","6003","23.37","10.91","35.84"
"Amador County, CA","6005","25.26","16.92","33.61"
"Butte County, CA","6007","20.80","15.66","25.94"
"Calaveras County, CA","6009","23.03","14.80","31.25"
"Colusa County, CA","6011","17.89","9.90","25.89"
"Contra Costa County, CA","6013","12.80","9.46","16.13"
"Del Norte County, CA","6015","21.89","13.88","29.90"
"El Dorado County, CA","6017","15.64","9.59","21.68"
"Fresno County, CA","6019","15.78","11.67","19.88"
"Glenn County, CA","6021","18.81","11.09","26.53"
"Humboldt County, CA","6023","22.19","14.61","29.78"
"Imperial County, CA","6025","18.64","10.15","27.13"
"Inyo County, CA","6027","25.17","15.95","34.38"
"Kern County, CA","6029","19.33","15.12","23.55"
"Kings County, CA","6031","17.24","10.42","24.05"
"Lake County, CA","6033","24.01","16.24","31.78"
"Lassen County, CA","6035","21.28","12.54","30.01"
"Los Angeles County, CA","6037","12.95","11.53","14.37"
"Madera County, CA","6039","13.53","7.70","19.37"
"Marin County, CA","6041","10.77","6.17","15.36"
"Mariposa County, CA","6043","24.46","15.34","33.58"
"Mendocino County, CA","6045","19.69","12.79","26.58"
"Merced County, CA","6047","14.22","9.28","19.17"
"Modoc County, CA","6049","28.13","17.83","38.43"
"Mono County, CA","6051","17.09","8.20","25.97"
"Monterey County, CA","6053","12.74","8.05","17.43"
"Napa County, CA","6055","17.45","10.56","24.33"
"Nevada County, CA","6057","15.68","9.35","22.02"
"Orange County, CA","6059","9.80","7.60","11.99"
"Placer County, CA","6061","14.43","8.32","20.54"
"Plumas County, CA","6063","26.87","17.48","36.25"
"Riverside County, CA","6065","14.65","11.61","17.69"
"Sacramento County, CA","6067","21.30","17.35","25.26"
"San Benito County, CA","6069","13.97","7.10","20.84"
"San Bernardino County, CA","6071","13.80","10.92","16.68"
"San Diego County, CA","6073","12.00","9.63","14.38"
"San Francisco County, CA","6075","13.17","9.07","17.26"
"San Joaquin County, CA","6077","20.36","15.74","24.98"
"San Luis Obispo County, CA","6079","14.70","8.56","20.83"
"San Mateo County, CA","6081","11.41","7.86","14.96"
"Santa Barbara County, CA","6083","11.37","7.03","15.70"
"Santa Clara County, CA","6085","10.86","8.28","13.44"
"Santa Cruz County, CA","6087","12.18","7.13","17.23"
"Shasta County, CA","6089","19.82","14.71","24.93"
"Sierra County, CA","6091","25.48","14.48","36.48"
"Siskiyou County, CA","6093","24.85","16.83","32.88"
"Solano County, CA","6095","16.33","11.02","21.64"
"Sonoma County, CA","6097","17.52","13.03","22.01"
"Stanislaus County, CA","6099","14.71","10.53","18.88"
"Sutter County, CA","6101","17.82","7.58","28.06"
"Tehama County, CA","6103","21.97","16.22","27.72"
"Trinity County, CA","6105","31.36","20.34","42.38"
"Tulare County, CA","6107","14.73","10.27","19.20"
"Tuolumne County, CA","6109","23.78","17.41","30.15"
"Ventura County, CA","6111","12.58","8.83","16.33"
"Yolo County, CA","6113","12.17","6.78","17.57"
"Yuba County, CA","6115","20.28","12.59","27.97"
