FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6000,California,,2014,303379,5570,5544,5596,,85369,18,18,19,,84923,3.7,3.6,3.7,,83519,13,13,13,,23,,,,6603169,20,20,20,,28429,75,1326:1,,2378472,50,50,50,,59,58.6,59.3,,1934537,18494886,10.5,,2164589,24,23,24,,9.3,,2,901082,,3498310,28,28,28,
6001,California,Alameda,2014,11630,5141,5016,5267,-0.87,3671,15,13,16,-0.71,3643,3,2.8,3.3,-1.25,3596,11,9,12,-0.97,21,19,23,-0.98,197333,15,14,16,-1.2,1527,100,1002:1,-1.1,81385,48,46,49,-0.15,60.5,58.5,62.4,0.06,69963,775855,9,-0.86,58641,17,16,19,-0.83,8.5,-0.29,0,0,-0.55,135680,26,25,26,0.28
6003,California,Alpine,2014,,,,,,,,,,,,,,,,,,,,,24,18,31,,164,18,15,20,,0,0,1102:0,,985,23,13,34,,70.4,52.1,88.6,,61,459,13.3,,66,29,21,37,,10.3,,46,1325,,90,22,11,33,
6005,California,Amador,2014,538,7504,6462,8547,0.74,164,18,12,25,-0.13,163,4,2.6,5.3,0.12,161,21,14,31,1.38,23,18,29,-0.34,3837,15,14,17,-1.13,24,63,1581:1,0.19,5810,42,37,48,-0.56,68.4,60.8,76,-1.3,1960,16673,11.8,-0.13,1084,19,14,23,-0.67,9.4,0.57,15,4609,0.67,2810,19,16,22,-1.42
6007,California,Butte,2014,2809,7944,7521,8367,1.05,931,17,14,21,-0.17,924,4.5,3.7,5.3,0.81,917,19,16,23,0.94,24,21,28,0.02,36467,20,18,22,0.25,148,67,1488:1,0.05,30728,63,60,66,0.99,61.6,58.6,64.7,-0.13,12493,102063,12.2,0,12092,27,22,32,0.47,8.9,0.14,0,314,-0.54,19270,23,21,24,-0.5
6009,California,Calaveras,2014,621,6938,5958,7918,0.36,195,21,13,33,0.62,195,4.3,2.5,6,0.53,191,19,12,28,0.92,26,21,31,0.44,5388,15,14,17,-1.01,19,42,2371:1,0.93,6768,42,37,47,-0.6,66.4,60.1,72.7,-0.96,2531,19430,13,0.21,1686,21,16,26,-0.35,9.5,0.7,0,135,-0.53,3310,18,15,20,-1.81
6011,California,Colusa,2014,184,5945,4805,7085,-0.32,,,,,0,70,2.9,1.4,4.5,-1.38,,,,,0,23,17,29,-0.45,4593,24,22,27,1.54,8,37,2694:1,1.11,2146,71,60,82,1.6,57.6,46.2,68.9,0.57,2369,11860,20,2.06,1254,20,15,25,-0.45,7.6,-1.12,6,591,-0.08,1450,21,16,25,-0.97
6013,California,Contra Costa,2014,8395,5257,5100,5415,-0.8,2871,14,12,16,-0.84,2854,3.3,2.9,3.7,-0.84,2814,12,10,14,-0.75,24,22,26,-0.15,126153,14,13,15,-1.51,951,89,1121:1,-0.73,63844,47,45,49,-0.21,63.6,61.3,65.8,-0.47,48167,535782,9,-0.86,37201,15,13,16,-1.2,8.3,-0.45,0,60,-0.55,86385,23,23,24,-0.26
6015,California,Del Norte,2014,424,9671,8347,10995,2.23,118,16,10,24,-0.44,119,6.3,4.3,8.4,3.27,118,20,12,33,1.18,26,20,32,0.36,3670,17,15,19,-0.5,20,70,1433:1,-0.04,3380,55,47,64,0.41,56.8,48.5,65.1,0.7,1521,11381,13.4,0.3,1884,32,24,41,1.17,8,-0.75,0,0,-0.55,2335,24,19,28,-0.23
6017,California,El Dorado,2014,1670,5170,4773,5566,-0.86,738,10,7,13,-1.63,738,2.7,2.2,3.3,-1.66,723,14,11,19,-0.15,20,17,24,-1.09,20121,13,12,15,-1.64,125,69,1448:1,-0.02,17649,42,39,45,-0.58,67.5,63.4,71.6,-1.14,9371,90525,10.4,-0.5,4724,12,9,15,-1.5,9.5,0.66,0,160,-0.54,14240,21,19,22,-0.96
6019,California,Fresno,2014,8393,7010,6824,7196,0.41,2163,23,21,26,1.01,2148,4.2,3.7,4.6,0.4,2107,14,12,16,-0.24,29,27,32,1.44,187161,22,21,24,0.98,592,63,1593:1,0.2,58667,56,54,58,0.49,58.7,56.5,60.9,0.37,67426,442453,15.2,0.8,110042,40,37,43,2.18,9.6,0.74,4,19589,-0.2,80670,28,28,29,1.06
6021,California,Glenn,2014,303,6819,5769,7869,0.27,132,28,18,42,1.95,,,,,0,129,15,9,25,0.01,27,21,33,0.72,5718,24,21,26,1.34,4,14,7032:1,1.91,3744,44,37,51,-0.42,60.7,52,69.5,0.02,1884,12841,14.7,0.65,2010,26,20,33,0.36,8,-0.73,1,125,-0.47,1940,20,16,24,-1.16
6023,California,Humboldt,2014,1751,8293,7748,8838,1.28,669,12,9,16,-1.19,668,4.1,3.4,4.8,0.26,661,19,15,23,0.81,27,23,31,0.63,23374,20,18,22,0.4,100,74,1348:1,-0.2,16471,40,37,44,-0.71,66.5,62.4,70.6,-0.97,6287,60144,10.5,-0.47,7067,27,22,32,0.48,8.2,-0.54,0,505,-0.53,13330,25,23,26,0.03
6025,California,Imperial,2014,1327,5672,5285,6059,-0.51,431,29,24,34,2.08,425,4.6,3.7,5.5,0.94,423,12,9,17,-0.57,24,19,29,-0.2,33969,23,21,25,1.11,42,24,4216:1,1.58,17026,60,56,63,0.74,48.9,45.1,52.7,2.06,22132,78282,28.3,4.27,16597,33,27,39,1.25,9.4,0.6,15,16385,0.68,13160,28,26,29,0.9
6027,California,Inyo,2014,238,7070,5679,8461,0.45,,,,,0,114,3.4,1.8,5,-0.7,,,,,0,24,18,30,-0.12,2992,20,18,22,0.4,18,97,1027:1,-1.01,3288,35,28,41,-1.13,60.1,51,69.2,0.13,878,9375,9.4,-0.76,741,19,14,24,-0.58,11.3,2.3,3,480,-0.27,1630,20,17,24,-1.07
6029,California,Kern,2014,8412,7631,7430,7831,0.83,2021,24,21,26,1.06,2004,4.7,4.2,5.2,1.08,1968,16,14,19,0.23,28,25,31,1,162177,22,21,23,0.84,426,50,1999:1,0.65,42423,73,70,76,1.76,53.4,51.1,55.7,1.28,52681,396657,13.3,0.28,84192,33,30,36,1.28,9.2,0.4,14,112131,0.59,66415,27,26,28,0.62
6031,California,Kings,2014,1278,6372,5952,6792,-0.03,307,27,21,33,1.68,303,5.4,4.1,6.6,2.04,299,13,9,18,-0.55,24,20,29,-0.01,25676,21,19,23,0.64,57,37,2698:1,1.11,9298,76,71,82,2,49.2,44.4,54,2.01,9321,60886,15.3,0.82,11586,28,23,33,0.57,8.9,0.07,61,48794,4.58,9675,24,22,26,-0.16
6033,California,Lake,2014,1180,9804,8927,10682,2.32,298,20,15,28,0.43,296,4.9,3.8,6,1.35,294,25,18,32,2.12,27,22,32,0.69,10653,20,18,22,0.39,38,59,1693:1,0.33,9477,62,57,67,0.92,55.8,50.8,60.7,0.87,3834,25519,15,0.74,4087,32,25,38,1.05,7.2,-1.43,1,446,-0.49,6510,26,23,29,0.38
6035,California,Lassen,2014,392,6849,5932,7766,0.3,179,18,13,26,0.01,178,4.2,3.1,5.3,0.4,177,18,11,29,0.7,26,20,32,0.38,3095,15,13,16,-1.25,16,47,2138:1,0.77,3187,71,62,81,1.6,55.2,46.6,63.8,0.97,1650,13083,12.6,0.1,1270,22,18,27,-0.15,11.1,2.14,4,1000,-0.19,2330,23,18,27,-0.47
6037,California,Los Angeles,2014,76256,5464,5413,5514,-0.65,13397,22,21,24,0.81,13326,3.8,3.6,4,-0.15,13100,12,11,13,-0.59,21,20,23,-0.81,2158922,25,24,25,1.68,7056,71,1402:1,-0.1,545921,59,59,60,0.72,53.9,53.2,54.6,1.2,533951,4879674,10.9,-0.34,633448,27,26,28,0.49,8.1,-0.62,3,208340,-0.3,1101560,34,34,34,2.6
6039,California,Madera,2014,1429,6694,6239,7149,0.19,413,31,25,38,2.48,408,4.3,3.2,5.4,0.53,402,14,10,19,-0.26,30,25,35,1.53,30717,24,22,26,1.48,70,46,2185:1,0.8,10696,59,55,64,0.72,59.8,54.7,64.9,0.19,9295,68167,13.6,0.37,14991,35,30,41,1.56,9.9,1.03,9,6973,0.2,11985,28,26,31,1.07
6041,California,Marin,2014,1762,3782,3492,4072,-1.81,934,10,7,13,-1.63,932,3.4,2.7,4.1,-0.7,922,10,7,13,-1.17,15,13,18,-2.46,24205,12,11,13,-2.01,356,140,716:1,-2.5,26233,30,28,33,-1.46,65.4,62,68.8,-0.78,8861,140287,6.3,-1.57,5377,10,8,13,-1.75,7.5,-1.17,1,1614,-0.5,24515,24,23,25,-0.15
6043,California,Mariposa,2014,272,7309,5778,8840,0.61,117,17,9,28,-0.32,117,3.2,1.7,4.7,-0.97,113,20,12,34,1.21,24,19,30,-0.12,2332,16,15,18,-0.73,5,27,3638:1,1.44,2995,45,37,53,-0.39,65.3,55.8,74.9,-0.77,1038,9446,11,-0.33,766,25,19,31,0.2,10.1,1.17,41,2401,2.91,1410,18,14,23,-1.64
6045,California,Mendocino,2014,1187,7975,7290,8659,1.07,423,16,12,21,-0.42,417,4.2,3,5.4,0.4,416,18,12,27,0.72,25,21,29,0.16,17048,23,21,25,1.25,84,96,1042:1,-0.96,12507,43,39,46,-0.55,60.2,55.8,64.6,0.11,4153,42776,9.7,-0.67,5900,31,26,37,1.03,7.3,-1.38,0,100,-0.53,9865,29,26,31,1.13
6047,California,Merced,2014,2166,6726,6378,7074,0.21,572,23,19,28,0.93,568,4.6,3.8,5.5,0.94,555,12,9,16,-0.73,31,27,36,1.97,51374,22,20,24,0.91,114,44,2280:1,0.87,20759,61,58,65,0.87,61,57.3,64.6,-0.02,18935,111322,17,1.27,28282,36,32,40,1.59,9.1,0.25,9,10952,0.2,21185,29,27,30,1.16
