FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - Presence of violation,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6000,California,,2016,312690,5275,5249,5300,,18,17,19,,4,3.8,4.2,,13,12,14,,23,,,,6382717,19,19,20,,30081,78,1274:1,,2535193,41,40,41,,59,59,60,,1414275,18811392,7.5,,2040811,23,22,23,,126489,24495,5.2,,9.3,,,,3554385,29,28,29,
6001,California,Alameda,2016,12315,4886,4766,5005,-0.85,13,13,13,-0.83,3.4,3.3,3.5,-1.03,11,10,11,-1.52,20,18,22,-1.15,197119,14,14,15,-1.21,1675,106,943:1,-1.17,88986,38,37,39,-0.27,61,59,63,-0.05,47683,811346,5.9,-0.92,48750,14,13,16,-1.09,150027,27647,5.4,1.13,8.5,-0.29,No,-2.03,135305,25,25,26,0.11
6003,California,Alpine,2016,,,,,,16,15,16,,4.2,4.1,4.2,,16,15,16,,24,18,31,,166,18,15,20,,0,0,1159:0,,,,,,,,,,,43,491,8.8,,62,28,20,36,,117650,22733,5.2,,10.3,,No,,55,14,7,22,
6005,California,Amador,2016,516,5776,4845,6706,-0.33,13,12,13,-0.9,3.5,3.3,3.6,-0.81,13,12,13,-0.4,27,21,33,0.69,3966,16,14,18,-0.71,24,66,1522:1,0.18,6644,36,31,41,-0.43,69,62,75,-1.49,1207,14459,8.3,-0.16,1032,19,14,24,-0.5,102310,22476,4.6,-0.42,9.4,0.57,Yes,0.48,3105,22,19,25,-0.79
6007,California,Butte,2016,2750,7437,7019,7855,0.64,15,15,16,-0.26,4.2,4,4.4,0.74,15,14,16,0.96,25,21,29,0.3,31203,17,16,19,-0.4,145,65,1532:1,0.2,34269,46,44,49,0.47,60,57,63,0.13,8820,101924,8.7,-0.07,10825,24,20,29,0.27,90586,17709,5.1,0.58,8.9,0.14,Yes,0.48,20180,24,23,25,-0.27
6009,California,Calaveras,2016,651,7537,6445,8628,0.7,12,11,12,-1.14,3.3,3.2,3.5,-1.25,12,11,12,-0.96,25,20,31,0.33,5405,16,15,18,-0.67,22,49,2023:1,0.73,8360,35,31,40,-0.48,68,62,74,-1.31,1641,20307,8.1,-0.24,1577,21,15,26,-0.23,106834,22824,4.7,-0.19,9.5,0.7,Yes,0.48,3915,21,18,24,-1
6011,California,Colusa,2016,201,6255,5072,7437,-0.05,21,20,22,1.2,4.3,4.2,4.5,0.97,14,14,15,0.56,24,18,31,-0.12,4467,24,22,26,1.74,7,33,3051:1,1.28,2345,54,45,64,1.16,60,49,71,0.13,1947,11152,17.5,2.63,1176,20,15,25,-0.33,93880,24839,3.8,-1.79,7.6,-1.12,No,-2.03,1300,19,15,23,-1.59
6013,California,Contra Costa,2016,8697,4880,4730,5031,-0.85,14,14,14,-0.62,3.6,3.4,3.6,-0.59,11,11,11,-1.3,23,21,26,-0.34,130734,14,13,15,-1.34,1057,97,1035:1,-0.85,70039,37,36,39,-0.33,64,61,66,-0.59,33509,544022,6.2,-0.83,35640,14,12,16,-1.15,158070,33012,4.8,0,8.3,-0.45,No,-2.03,87275,23,23,24,-0.36
6015,California,Del Norte,2016,418,8719,7496,9941,1.39,17,17,18,0.26,4.3,4.2,4.5,0.97,16,16,17,1.58,27,21,34,0.86,3434,17,15,18,-0.53,21,75,1327:1,-0.14,3598,59,50,67,1.56,54,46,62,1.2,1022,10041,10.2,0.4,1743,31,23,39,1.18,82690,14186,5.8,1.84,8,-0.75,No,-2.03,2365,24,20,29,-0.09
6017,California,El Dorado,2016,1798,5111,4721,5501,-0.72,12,11,12,-1.19,3.4,3.3,3.5,-1.03,12,11,12,-0.96,19,16,23,-1.32,19825,13,12,14,-1.55,133,73,1366:1,-0.07,19734,33,30,35,-0.72,67,63,71,-1.13,6212,88797,7,-0.57,4956,13,10,16,-1.25,137016,28644,4.8,-0.01,9.5,0.66,No,-2.03,14210,21,19,23,-1.02
6019,California,Fresno,2016,8749,6903,6718,7087,0.33,22,21,22,1.46,4.3,4.2,4.4,0.97,13,13,14,0.06,29,26,32,1.3,170295,20,19,21,0.56,631,66,1514:1,0.17,62750,48,46,49,0.59,60,58,62,0.13,51217,441022,11.6,0.84,104770,38,35,41,2.13,94471,18466,5.1,0.58,9.6,0.74,Yes,0.48,83765,29,28,30,1.22
6021,California,Glenn,2016,313,7234,6084,8383,0.52,20,19,20,0.86,4.3,4.2,4.5,0.97,15,14,15,0.79,28,22,35,1.16,5307,22,20,25,1.22,5,18,5588:1,1.78,4074,51,44,58,0.89,56,47,64,0.84,1375,12908,10.7,0.54,1751,24,17,30,0.19,90056,16756,5.4,1.03,8,-0.73,Yes,0.48,2015,21,18,25,-0.98
6023,California,Humboldt,2016,1868,8434,7875,8993,1.23,15,14,15,-0.39,4.1,3.9,4.3,0.52,15,15,16,1.07,25,20,29,0.1,23337,21,19,23,0.72,96,71,1401:1,-0.01,17955,33,31,36,-0.68,65,61,69,-0.77,4256,62751,6.8,-0.64,6137,24,19,29,0.22,83287,17441,4.8,-0.03,8.2,-0.54,Yes,0.48,13865,26,25,27,0.36
6025,California,Imperial,2016,1381,5245,4890,5599,-0.64,28,27,29,3.01,4.8,4.6,5,2.08,14,14,15,0.62,25,20,31,0.24,31736,21,20,23,0.91,40,23,4415:1,1.62,17213,48,45,51,0.63,46,42,49,2.64,18957,80266,23.6,4.51,15870,31,25,38,1.22,89794,16169,5.6,1.35,9.4,0.6,Yes,0.48,13440,28,26,30,0.91
6027,California,Inyo,2016,227,5560,4420,6700,-0.46,14,14,15,-0.54,3.7,3.6,3.9,-0.37,13,13,14,-0.17,23,17,29,-0.34,2637,18,16,20,-0.07,20,108,923:1,-1.24,3985,24,19,28,-1.54,61,53,70,-0.05,643,9213,7,-0.58,761,20,15,26,-0.29,93823,19315,4.9,0.12,11.3,2.3,Yes,0.48,1570,20,16,23,-1.32
6029,California,Kern,2016,8813,7492,7294,7690,0.68,21,20,21,1.2,4.2,4.1,4.4,0.74,17,16,17,1.92,29,25,32,1.22,153624,20,19,22,0.61,425,49,2033:1,0.73,45651,59,56,61,1.57,54,51,56,1.2,41204,394849,10.4,0.48,83543,33,31,35,1.44,99161,20083,4.9,0.26,9.2,0.4,Yes,0.48,67720,27,26,28,0.56
6031,California,Kings,2016,1293,6349,5925,6773,0.01,22,21,22,1.4,4.4,4.3,4.6,1.19,16,15,16,1.24,25,20,30,0.22,22593,19,17,20,0.12,64,42,2359:1,0.96,9930,63,58,68,1.95,51,46,55,1.74,6920,57393,12.1,0.97,13840,34,30,38,1.56,93691,20726,4.5,-0.48,8.9,0.07,Yes,0.48,9970,24,23,26,-0.07
