FIPS,State,County,Year,Premature Death - Deaths,Premature Death - Aggregate Population,Premature Death - YPLL Rate,Premature Death -  95% CI - Low,Premature Death -  95% CI - High,Premature Death - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Hospice use - % Hospice Use,Hospice use - 95% CI - Low,Hospice use - 95% CI - High,Hospice use - Z-Score,Unemployment - % unemployed,Unemployment - 95% CI - Low,Unemployment - 95% CI - High,Unemployment - Z-Score,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - GINI,Income inequality - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6000,California,,2010,307923,102281460,6196,6168,6223,,42303,18,17,18,,42050,3.6,3.6,3.7,,42284,15,15,16,,23,,,,21,20,21,,,95,4342976,62,62,62,,28,28,29,,7,7,7,,17,17,18,,47,,13,,37,
6001,California,Alameda,2010,12284,4124490,5910,5775,6046,-0.71,1853,14,12,16,-0.51,1839,3.1,2.7,3.5,-0.77,1848,13,12,16,-0.34,19,17,22,-1.23,16,15,17,-1,1745,121,147287,62,60,63,0.18,25,23,26,-0.23,6,6,6,-0.78,14,13,15,-0.61,46,0.5,5,-0.3,2,-0.57
6003,California,Alpine,2010,,3334,,,,,5,,,,,5,,,,,5,,,,,24,16,34,,20,17,23,,0,0,209,,,,,,,,,10,8,13,,24,18,29,,49,,0,,0,
6005,California,Amador,2010,474,103095,7166,6106,8225,0.03,68,18,10,28,0.17,67,3.8,2,5.5,-0.07,68,,,,0,26,19,36,0.85,15,13,18,-1.14,24,64,11342,53,48,57,-0.56,29,23,37,0.35,8,7,8,-0.28,14,11,16,-0.69,41,-1.37,2,-0.57,13,-0.19
6007,California,Butte,2010,2606,593204,8503,8055,8950,0.83,414,14,10,18,-0.45,411,4,3.1,4.9,0.19,414,19,14,24,1.04,25,20,31,0.54,16,14,18,-0.82,159,74,59755,67,65,69,0.63,29,26,32,0.3,8,8,9,-0.05,21,18,24,0.5,45,0.3,8,-0.03,15,-0.12
6009,California,Calaveras,2010,560,126776,6806,5888,7725,-0.18,92,14,7,25,-0.46,91,4.5,2.2,6.7,0.63,92,,,,0,23,16,31,-0.19,19,17,21,-0.06,21,46,13835,62,57,66,0.19,17,13,23,-1.18,9,8,9,0.05,14,11,17,-0.55,40,-1.89,2,-0.57,25,0.23
6011,California,Colusa,2010,182,58380,5545,4489,6601,-0.93,33,,,,0,33,,,,0,32,,,,0,24,17,34,0.27,26,23,29,1.95,8,39,4019,88,79,98,2.37,,,,0,14,13,15,1.81,19,15,23,0.15,44,-0.11,1,-0.67,0,-0.64
6013,California,Contra Costa,2010,8317,2843124,5600,5438,5762,-0.9,1393,14,12,17,-0.34,1385,3.4,2.9,4,-0.45,1392,14,12,17,-0.2,22,19,26,-0.34,16,15,17,-0.97,1022,102,113024,53,52,55,-0.49,30,28,32,0.46,6,6,6,-0.78,12,10,13,-0.99,45,0.26,5,-0.3,2,-0.57
6015,California,Del Norte,2010,413,79862,10283,8906,11661,1.89,56,,,,0,56,6.4,3.4,9.4,2.63,56,,,,0,27,19,37,1.06,15,13,18,-1.14,20,70,6594,57,51,62,-0.24,14,9,22,-1.56,9,8,9,0.08,31,25,37,2,44,0.05,0,-0.76,0,-0.64
6017,California,El Dorado,2010,1692,492243,6034,5631,6437,-0.64,331,11,7,15,-1.01,331,2.5,1.7,3.2,-1.44,330,14,10,20,-0.09,20,15,25,-1.04,17,15,18,-0.73,141,81,31252,53,51,56,-0.49,31,26,36,0.56,7,7,7,-0.55,10,8,12,-1.19,43,-0.35,2,-0.57,44,0.89
6019,California,Fresno,2010,8318,2494654,7783,7582,7984,0.4,1064,18,15,21,0.27,1058,4,3.4,4.6,0.18,1064,14,11,17,-0.18,26,22,31,0.94,18,16,19,-0.47,718,83,115610,69,67,70,0.78,20,18,21,-0.87,11,11,11,0.68,29,27,31,1.69,45,0.42,38,2.69,62,1.52
6021,California,Glenn,2010,311,77588,8588,7379,9797,0.88,62,,,,0,62,2.5,1.4,3.6,-1.4,63,,,,0,25,17,34,0.39,23,20,26,1.13,5,18,7103,70,63,76,0.85,28,20,38,0.21,11,10,11,0.65,23,18,27,0.74,44,-0.23,4,-0.39,0,-0.64
6023,California,Humboldt,2010,1660,362890,8582,8026,9138,0.88,314,13,9,19,-0.57,314,4.9,3.6,6.2,1.11,314,18,13,24,0.78,24,18,30,0.12,18,15,20,-0.38,116,90,31016,49,47,52,-0.84,32,29,37,0.77,7,7,8,-0.45,21,17,24,0.4,47,0.9,0,-0.76,0,-0.64
6025,California,Imperial,2010,1419,438523,7097,6649,7546,-0.01,186,31,24,39,2.44,184,4.8,3.4,6.2,0.95,186,10,6,16,-1.15,25,19,34,0.63,22,20,24,0.75,50,33,30054,67,64,71,0.66,20,16,24,-0.85,23,23,23,4.77,28,24,31,1.51,46,0.54,2,-0.57,37,0.65
6027,California,Inyo,2010,252,48397,9315,7544,11086,1.32,62,,,,0,62,2.3,0.8,3.9,-1.57,62,,,,0,23,16,32,-0.07,20,17,23,0.26,22,124,6194,46,41,52,-1.07,,,,0,7,6,7,-0.62,16,13,20,-0.27,44,-0.19,0,-0.76,25,0.23
6029,California,Kern,2010,8218,2158864,8677,8452,8901,0.94,1038,24,21,28,1.3,1028,4.6,3.9,5.3,0.77,1038,20,17,24,1.46,29,25,35,1.85,16,15,18,-0.79,477,64,76329,82,80,84,1.83,26,24,29,0,10,10,10,0.42,25,23,27,1.06,45,0.38,40,2.87,94,2.63
6031,California,Kings,2010,1238,418129,7423,6946,7901,0.19,154,24,18,32,1.28,152,3.9,2.6,5.3,0.06,154,11,7,18,-0.88,26,19,35,0.88,20,17,22,0.14,59,41,17379,70,66,74,0.87,19,15,24,-0.95,11,10,11,0.71,21,17,24,0.4,41,-1.41,18,0.88,24,0.19
6033,California,Lake,2010,1125,176690,10287,9433,11140,1.89,126,19,12,30,0.49,126,4.8,2.9,6.8,1,126,22,14,32,1.78,24,18,31,0.12,17,15,20,-0.56,43,67,18003,59,55,62,-0.06,23,19,27,-0.48,11,10,11,0.75,27,22,31,1.37,41,-1.41,0,-0.76,0,-0.64
6035,California,Lassen,2010,372,97932,8103,6962,9245,0.59,48,,,,0,47,,,,0,48,,,,0,25,17,35,0.48,15,12,17,-1.34,22,65,5579,61,55,68,0.17,,,,0,10,9,10,0.32,17,13,20,-0.19,39,-2.02,0,-0.76,0,-0.64
6037,California,Los Angeles,2010,80666,28206622,6088,6036,6140,-0.61,6943,22,20,23,0.84,6906,3.8,3.6,4.1,-0.03,6938,15,14,17,0.17,20,19,23,-0.89,23,23,24,1.25,9375,96,1014526,73,72,73,1.11,22,22,23,-0.52,8,8,8,-0.35,21,20,22,0.49,49,1.96,32,2.15,88,2.42
6039,California,Madera,2010,1365,400466,7200,6721,7679,0.06,192,32,23,42,2.59,190,6.2,4.1,8.4,2.45,192,14,9,21,-0.15,24,17,31,0.09,24,22,27,1.54,70,50,20140,66,63,70,0.57,21,17,27,-0.63,9,9,10,0.28,24,20,29,0.98,45,0.3,1,-0.67,6,-0.43
6041,California,Marin,2010,1851,682813,4053,3766,4339,-1.82,429,7,5,10,-1.63,426,2.9,2.1,3.6,-1.01,429,12,9,17,-0.58,17,13,22,-1.9,17,15,18,-0.73,417,171,43654,42,40,44,-1.44,34,30,38,0.97,5,4,5,-1.32,7,6,9,-1.64,50,2.45,11,0.24,0,-0.64
