FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score
6000,California,,2013,303379,5570,5544,5596,,80347,19,18,19,,79909,3.7,3.6,3.7,,78503,14,13,14,,24,,,,6720279,21,20,21,,27842,75,1341:1,,2324980,52,52,52,,61.9,62,62,,2158328,18384886,11.7,,2085226,23,22,23,,11.7,,2,817365,
6001,California,Alameda,2013,11630,5141,5016,5267,-0.87,3470,15,13,17,-0.45,3444,3,2.7,3.3,-1.21,3395,12,10,14,-0.57,20,18,22,-1.2,199327,15,14,16,-1.14,1482,98,1020:1,-1.08,79394,52,50,53,0.02,63.2,61,65,0.13,78903,760931,10.4,-0.78,56573,17,15,19,-0.9,10.7,-0.51,0,0,-0.61
6003,California,Alpine,2013,,,,,,,,,,,,,,,,,,,,,25,19,33,,161,16,14,18,,0,0,1162:0,,,,,,,,,,,76,504,15.1,,61,29,21,38,,12.6,,0,0,
6005,California,Amador,2013,538,7504,6462,8547,0.74,154,18,12,26,0.05,153,4.4,2.9,5.9,0.98,152,25,16,36,2.28,25,20,30,0.01,4097,16,14,17,-0.93,22,58,1728:1,0.35,5679,47,41,53,-0.36,71.2,63,79,-1.28,2179,17020,12.8,-0.16,1155,19,15,24,-0.55,12,0.54,7,2054,0.08
6007,California,Butte,2013,2809,7944,7521,8367,1.05,867,15,12,18,-0.52,861,4.3,3.5,5.1,0.82,853,19,15,24,1.03,25,21,28,0.04,34814,19,17,21,0.01,147,67,1496:1,0.03,30220,67,64,70,1.2,64.5,61,68,-0.11,13794,101686,13.6,0.05,12426,28,23,33,0.67,11.4,0.01,0,275,-0.6
6009,California,Calaveras,2013,621,6938,5958,7918,0.36,177,16,10,26,-0.27,177,3.8,1.9,5.6,0.04,173,20,13,30,1.28,26,21,32,0.4,5868,17,15,18,-0.73,21,46,2165:1,0.76,7582,43,38,48,-0.7,66.7,61,73,-0.48,2896,19852,14.6,0.32,1701,20,15,26,-0.4,12.4,0.86,1,270,-0.56
6011,California,Colusa,2013,184,5945,4805,7085,-0.32,,,,,0,67,2.7,1.3,4.1,-1.68,,,,,0,25,19,31,-0.04,4560,24,22,26,1.55,7,33,3067:1,1.24,2154,69,58,81,1.39,63.6,52,75,0.06,2403,11799,20.4,1.84,1229,20,14,25,-0.52,10.6,-0.58,13,682,0.73
6013,California,Contra Costa,2013,8395,5257,5100,5415,-0.8,2755,14,12,16,-0.63,2739,3.3,2.9,3.7,-0.74,2697,13,11,15,-0.42,24,22,27,-0.07,129974,14,13,15,-1.38,939,89,1120:1,-0.77,61578,51,50,53,-0.01,68.4,66,71,-0.79,54451,524056,10.4,-0.78,37692,15,13,17,-1.21,10.7,-0.53,0,94,-0.61
6015,California,Del Norte,2013,424,9671,8347,10995,2.23,,,,,0,,,,,0,,,,,0,27,21,34,0.76,3437,16,14,18,-0.82,21,73,1363:1,-0.2,3346,51,43,59,-0.07,61.9,53,71,0.36,1531,11450,13.4,0,1989,34,25,42,1.46,10.2,-0.95,0,0,-0.61
6017,California,El Dorado,2013,1670,5170,4773,5566,-0.86,691,10,7,13,-1.44,691,2.5,1.9,3.1,-2,676,13,10,16,-0.44,21,18,25,-1.01,20841,14,12,15,-1.58,135,75,1341:1,-0.25,17236,40,37,43,-0.9,71.2,67,75,-1.28,10710,90962,11.8,-0.42,5309,13,10,16,-1.38,11.8,0.35,0,0,-0.61
6019,California,Fresno,2013,8393,7010,6824,7196,0.41,2103,22,19,24,0.68,2087,4,3.5,4.4,0.35,2047,14,12,17,-0.06,29,27,32,1.31,181235,22,21,23,0.87,570,61,1637:1,0.23,56518,61,59,63,0.74,62.9,60,65,0.2,73118,442054,16.5,0.81,97470,35,32,38,1.7,13.2,1.56,22,20340,1.63
6021,California,Glenn,2013,303,6819,5769,7869,0.27,,,,,0,123,3.9,1.6,6.2,0.19,121,13,7,23,-0.31,27,21,34,0.68,5457,23,20,25,1.07,4,14,7028:1,1.89,3698,52,45,60,0.04,62.3,54,71,0.29,2031,12865,15.8,0.63,2050,27,20,33,0.47,10.9,-0.41,0,0,-0.61
6023,California,Humboldt,2013,1751,8293,7748,8838,1.28,632,13,10,17,-0.84,631,4.3,3.6,5,0.82,624,20,16,25,1.25,26,23,30,0.43,23158,20,18,22,0.37,101,75,1334:1,-0.26,16204,40,37,43,-0.89,70.3,66,75,-1.13,6832,60628,11.3,-0.55,6797,26,21,32,0.43,11.1,-0.17,1,750,-0.56
6025,California,Imperial,2013,1327,5672,5285,6059,-0.51,419,32,27,38,2.54,414,4.8,3.8,5.8,1.6,411,11,8,16,-0.73,25,20,30,-0.01,33176,23,21,24,1.07,42,24,4169:1,1.55,16709,64,60,68,1,53.5,49,57,1.86,23011,77561,29.7,4.28,16795,33,27,39,1.39,11.5,0.16,29,12755,2.27
6027,California,Inyo,2013,238,7070,5679,8461,0.45,,,,,0,113,2.8,1.4,4.2,-1.53,,,,,0,23,18,29,-0.34,2952,20,18,22,0.28,18,97,1028:1,-1.05,3195,35,28,41,-1.32,66.5,57,77,-0.46,940,9488,9.9,-0.92,791,20,15,26,-0.4,14.1,2.31,7,960,0.14
6029,California,Kern,2013,8412,7631,7430,7831,0.83,1954,24,22,27,1.18,1938,4.4,3.9,4.9,0.98,1901,17,15,20,0.59,29,26,32,1.15,171643,23,22,25,1.31,417,49,2021:1,0.64,41158,78,75,80,2.03,58,56,61,1.06,56934,382029,14.9,0.4,87025,35,32,37,1.59,11.2,-0.08,10,85272,0.42
6031,California,Kings,2013,1278,6372,5952,6792,-0.03,299,27,22,33,1.64,293,5.1,3.8,6.3,2.07,291,15,10,21,0.01,28,23,33,0.81,23607,20,18,21,0.19,53,35,2890:1,1.17,9195,79,73,85,2.15,55.5,50,61,1.49,9854,61099,16.1,0.71,12386,30,25,34,0.88,11.6,0.2,22,3873,1.56
6033,California,Lake,2013,1180,9804,8927,10682,2.32,267,18,13,26,0.1,267,4.4,3.3,5.4,0.98,263,23,16,31,1.9,27,22,32,0.59,10726,20,18,22,0.37,36,56,1798:1,0.43,9545,67,62,73,1.22,57.9,53,63,1.08,4302,25810,16.7,0.87,4399,34,27,41,1.48,10.2,-0.92,0,0,-0.61
