FIPS,State,County,Year,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Income inequality - GINI,Income inequality - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6000,California,,2010,42284,15,15,16,,47,,13,,37,
6001,California,Alameda,2010,1848,13,12,16,-0.34,46,0.5,5,-0.3,2,-0.57
6003,California,Alpine,2010,5,,,,,49,,0,,0,
6005,California,Amador,2010,68,,,,0,41,-1.37,2,-0.57,13,-0.19
6007,California,Butte,2010,414,19,14,24,1.04,45,0.3,8,-0.03,15,-0.12
6009,California,Calaveras,2010,92,,,,0,40,-1.89,2,-0.57,25,0.23
6011,California,Colusa,2010,32,,,,0,44,-0.11,1,-0.67,0,-0.64
6013,California,Contra Costa,2010,1392,14,12,17,-0.2,45,0.26,5,-0.3,2,-0.57
6015,California,Del Norte,2010,56,,,,0,44,0.05,0,-0.76,0,-0.64
6017,California,El Dorado,2010,330,14,10,20,-0.09,43,-0.35,2,-0.57,44,0.89
6019,California,Fresno,2010,1064,14,11,17,-0.18,45,0.42,38,2.69,62,1.52
6021,California,Glenn,2010,63,,,,0,44,-0.23,4,-0.39,0,-0.64
6023,California,Humboldt,2010,314,18,13,24,0.78,47,0.9,0,-0.76,0,-0.64
6025,California,Imperial,2010,186,10,6,16,-1.15,46,0.54,2,-0.57,37,0.65
6027,California,Inyo,2010,62,,,,0,44,-0.19,0,-0.76,25,0.23
6029,California,Kern,2010,1038,20,17,24,1.46,45,0.38,40,2.87,94,2.63
6031,California,Kings,2010,154,11,7,18,-0.88,41,-1.41,18,0.88,24,0.19
6033,California,Lake,2010,126,22,14,32,1.78,41,-1.41,0,-0.76,0,-0.64
6035,California,Lassen,2010,48,,,,0,39,-2.02,0,-0.76,0,-0.64
6037,California,Los Angeles,2010,6938,15,14,17,0.17,49,1.96,32,2.15,88,2.42
6039,California,Madera,2010,192,14,9,21,-0.15,45,0.3,1,-0.67,6,-0.43
6041,California,Marin,2010,429,12,9,17,-0.58,50,2.45,11,0.24,0,-0.64
6043,California,Mariposa,2010,48,,,,0,44,-0.19,1,-0.67,20,0.05
6045,California,Mendocino,2010,180,,,,0,45,0.3,0,-0.76,0,-0.64
6047,California,Merced,2010,263,14,10,20,-0.1,45,0.3,26,1.6,20,0.05
6049,California,Modoc,2010,22,,,,0,48,1.55,0,-0.76,0,-0.64
6051,California,Mono,2010,37,,,,0,43,-0.68,0,-0.76,0,-0.64
6053,California,Monterey,2010,526,14,10,19,-0.26,44,0.01,2,-0.57,0,-0.64
6055,California,Napa,2010,217,8,5,13,-1.82,46,0.62,3,-0.48,0,-0.64
6057,California,Nevada,2010,235,12,8,18,-0.73,42,-1,0,-0.76,42,0.82
6059,California,Orange,2010,3464,14,12,15,-0.27,46,0.54,13,0.42,7,-0.4
6061,California,Placer,2010,542,13,9,18,-0.45,42,-0.88,7,-0.12,42,0.82
6063,California,Plumas,2010,58,,,,0,42,-1.04,4,-0.39,0,-0.64
6065,California,Riverside,2010,2450,16,14,18,0.21,44,-0.15,38,2.69,105,3.01
6067,California,Sacramento,2010,1887,16,14,19,0.41,42,-0.76,19,0.97,33,0.51
6069,California,San Benito,2010,63,5,1,16,-2.61,40,-1.65,3,-0.48,2,-0.57
6071,California,San Bernardino,2010,2383,17,15,19,0.6,42,-1.08,31,2.05,110,3.19
6073,California,San Diego,2010,3838,14,13,16,-0.1,45,0.3,6,-0.21,24,0.19
6075,California,San Francisco,2010,990,15,12,20,0.12,51,2.65,7,-0.12,0,-0.64
6077,California,San Joaquin,2010,798,17,14,21,0.56,44,-0.31,19,0.97,1,-0.61
6079,California,San Luis Obispo,2010,466,11,8,15,-0.86,46,0.66,0,-0.76,2,-0.57
6081,California,San Mateo,2010,861,15,12,19,0.13,46,0.86,6,-0.21,0,-0.64
6083,California,Santa Barbara,2010,555,13,9,18,-0.53,48,1.43,0,-0.76,3,-0.54
6085,California,Santa Clara,2010,2032,10,8,12,-1.2,45,0.38,17,0.79,3,-0.54
6087,California,Santa Cruz,2010,444,11,7,16,-0.98,46,0.86,15,0.6,0,-0.64
6089,California,Shasta,2010,386,23,18,29,2.07,45,0.34,1,-0.67,8,-0.36
6091,California,Sierra,2010,12,,,,,43,,0,,0,
6093,California,Siskiyou,2010,114,17,10,28,0.53,45,0.09,0,-0.76,0,-0.64
6095,California,Solano,2010,458,16,12,21,0.35,40,-1.77,15,0.6,2,-0.57
6097,California,Sonoma,2010,820,16,13,20,0.33,44,-0.15,3,-0.48,0,-0.64
6099,California,Stanislaus,2010,861,17,14,21,0.66,44,-0.31,26,1.6,17,-0.05
6101,California,Sutter,2010,116,,,,0,42,-0.8,3,-0.48,5,-0.47
6103,California,Tehama,2010,128,,,,0,45,0.17,3,-0.48,12,-0.22
6105,California,Trinity,2010,38,,,,0,46,0.66,0,-0.76,0,-0.64
6107,California,Tulare,2010,526,19,15,25,1.19,45,0.26,15,0.6,84,2.28
6109,California,Tuolumne,2010,124,23,15,34,2.23,46,0.78,0,-0.76,8,-0.36
6111,California,Ventura,2010,1071,16,13,19,0.36,43,-0.56,1,-0.67,39,0.72
6113,California,Yolo,2010,298,9,6,13,-1.49,46,0.62,6,-0.21,6,-0.43
6115,California,Yuba,2010,122,,,,0,42,-1.12,6,-0.21,0,-0.64
