"County Name","County FIPS","Estimated Percent","Lower Confidence Interval","Upper Confidence Interval"
"Alameda County, CA","6001","18.5","16.1","20.9"
"Alpine County, CA","6003","21.6","15.2","28.0"
"Amador County, CA","6005","24.6","20.0","29.3"
"Butte County, CA","6007","24.5","20.5","28.4"
"Calaveras County, CA","6009","23.0","18.6","27.4"
"Colusa County, CA","6011","17.9","13.8","22.1"
"Contra Costa County, CA","6013","16.6","14.2","19.1"
"Del Norte County, CA","6015","25.3","20.7","30.0"
"El Dorado County, CA","6017","19.8","16.3","23.3"
"Fresno County, CA","6019","16.7","14.2","19.2"
"Glenn County, CA","6021","20.2","16.5","24.0"
"Humboldt County, CA","6023","22.5","19.0","26.0"
"Imperial County, CA","6025","16.4","12.5","20.3"
"Inyo County, CA","6027","19.3","14.7","24.0"
"Kern County, CA","6029","21.4","18.5","24.4"
"Kings County, CA","6031","21.6","17.4","25.9"
"Lake County, CA","6033","24.1","19.8","28.3"
"Lassen County, CA","6035","25.9","20.5","31.3"
"Los Angeles County, CA","6037","16.5","15.3","17.8"
"Madera County, CA","6039","20.7","17.1","24.4"
"Marin County, CA","6041","14.1","11.0","17.3"
"Mariposa County, CA","6043","22.3","17.7","27.0"
"Mendocino County, CA","6045","21.1","17.1","25.1"
"Merced County, CA","6047","19.7","16.5","23.0"
"Modoc County, CA","6049","25.0","20.1","29.9"
"Mono County, CA","6051","20.5","15.8","25.2"
"Monterey County, CA","6053","13.7","10.9","16.5"
"Napa County, CA","6055","17.9","14.4","21.4"
"Nevada County, CA","6057","20.4","16.5","24.3"
"Orange County, CA","6059","15.8","14.0","17.7"
"Placer County, CA","6061","20.1","16.7","23.5"
"Plumas County, CA","6063","21.7","17.4","26.1"
"Riverside County, CA","6065","18.8","16.4","21.2"
"Sacramento County, CA","6067","22.3","19.6","24.9"
"San Benito County, CA","6069","18.5","14.6","22.4"
"San Bernardino County, CA","6071","21.1","18.6","23.6"
"San Diego County, CA","6073","17.3","15.4","19.2"
"San Francisco County, CA","6075","19.8","16.7","22.9"
"San Joaquin County, CA","6077","19.9","16.9","22.9"
"San Luis Obispo County, CA","6079","20.2","16.4","23.9"
"San Mateo County, CA","6081","15.3","12.7","17.9"
"Santa Barbara County, CA","6083","14.5","11.7","17.4"
"Santa Clara County, CA","6085","14.3","12.1","16.4"
"Santa Cruz County, CA","6087","18.4","15.0","21.9"
"Shasta County, CA","6089","24.6","20.6","28.6"
"Sierra County, CA","6091","21.9","17.2","26.7"
"Siskiyou County, CA","6093","21.0","16.8","25.1"
"Solano County, CA","6095","20.2","17.1","23.4"
"Sonoma County, CA","6097","18.2","15.2","21.2"
"Stanislaus County, CA","6099","20.9","17.5","24.2"
"Sutter County, CA","6101","22.1","18.1","26.1"
"Tehama County, CA","6103","23.6","19.4","27.7"
"Trinity County, CA","6105","25.4","20.4","30.5"
"Tulare County, CA","6107","19.5","16.4","22.6"
"Tuolumne County, CA","6109","23.3","18.9","27.6"
"Ventura County, CA","6111","15.1","12.5","17.7"
"Yolo County, CA","6113","16.0","12.8","19.3"
"Yuba County, CA","6115","24.4","20.1","28.7"
