"County Name","County FIPS","Estimated Percent","Lower Confidence Interval","Upper Confidence Interval"
"Alameda County, CA","6001","15.6","13.6","17.6"
"Alpine County, CA","6003","23.4","17.2","29.5"
"Amador County, CA","6005","21.6","17.6","25.7"
"Butte County, CA","6007","20.1","16.6","23.5"
"Calaveras County, CA","6009","23.9","19.7","28.1"
"Colusa County, CA","6011","19.3","15.2","23.4"
"Contra Costa County, CA","6013","15.4","13.3","17.5"
"Del Norte County, CA","6015","25.0","20.7","29.4"
"El Dorado County, CA","6017","18.2","14.9","21.4"
"Fresno County, CA","6019","16.3","14.0","18.7"
"Glenn County, CA","6021","21.5","18.0","25.0"
"Humboldt County, CA","6023","23.6","20.2","27.1"
"Imperial County, CA","6025","16.7","12.9","20.5"
"Inyo County, CA","6027","17.9","13.6","22.3"
"Kern County, CA","6029","19.6","16.9","22.3"
"Kings County, CA","6031","22.7","18.6","26.8"
"Lake County, CA","6033","25.6","21.5","29.7"
"Lassen County, CA","6035","26.5","21.6","31.4"
"Los Angeles County, CA","6037","15.6","14.5","16.7"
"Madera County, CA","6039","18.0","14.7","21.2"
"Marin County, CA","6041","12.4","9.8","15.1"
"Mariposa County, CA","6043","24.6","20.1","29.0"
"Mendocino County, CA","6045","20.2","16.5","23.9"
"Merced County, CA","6047","18.4","15.3","21.5"
"Modoc County, CA","6049","26.6","21.9","31.3"
"Mono County, CA","6051","19.9","15.4","24.4"
"Monterey County, CA","6053","12.6","10.0","15.2"
"Napa County, CA","6055","14.9","11.9","17.9"
"Nevada County, CA","6057","18.8","15.4","22.3"
"Orange County, CA","6059","14.4","12.7","16.0"
"Placer County, CA","6061","16.1","13.2","19.0"
"Plumas County, CA","6063","24.5","20.2","28.8"
"Riverside County, CA","6065","16.8","14.7","18.8"
"Sacramento County, CA","6067","19.5","17.2","21.8"
"San Benito County, CA","6069","12.0","9.0","15.0"
"San Bernardino County, CA","6071","16.1","14.0","18.2"
"San Diego County, CA","6073","15.7","14.0","17.4"
"San Francisco County, CA","6075","19.6","16.7","22.5"
"San Joaquin County, CA","6077","18.2","15.6","20.8"
"San Luis Obispo County, CA","6079","14.9","11.9","18.0"
"San Mateo County, CA","6081","12.5","10.2","14.9"
"Santa Barbara County, CA","6083","12.1","9.6","14.6"
"Santa Clara County, CA","6085","11.9","10.2","13.7"
"Santa Cruz County, CA","6087","14.2","11.4","17.0"
"Shasta County, CA","6089","24.0","20.3","27.8"
"Sierra County, CA","6091","20.8","16.3","25.2"
"Siskiyou County, CA","6093","22.0","18.0","25.9"
"Solano County, CA","6095","17.3","14.5","20.1"
"Sonoma County, CA","6097","17.1","14.4","19.7"
"Stanislaus County, CA","6099","20.2","17.2","23.1"
"Sutter County, CA","6101","20.4","16.7","24.2"
"Tehama County, CA","6103","25.4","21.4","29.4"
"Trinity County, CA","6105","28.2","23.2","33.2"
"Tulare County, CA","6107","16.0","13.1","18.8"
"Tuolumne County, CA","6109","23.1","19.2","27.0"
"Ventura County, CA","6111","14.8","12.5","17.1"
"Yolo County, CA","6113","14.1","11.2","17.1"
"Yuba County, CA","6115","25.4","21.4","29.5"
